timestamp_us,raw_reading
15924452,191190
15934633,191011
15944813,190835
15954994,190796
15965174,190338
15975355,190674
15985536,190977
15995716,190322
16005897,190680
16016078,190667
16024561,190147
16034742,191320
16044923,191117
16055103,190326
16065284,191552
16075464,190144
16085645,190562
16095826,190731
16106006,191114
16114490,190556
16124671,191238
16134851,190547
16145032,190359
16155212,190664
16165393,190844
16175574,190394
16185754,191044
16195935,190670
16206115,190335
16214599,190896
16224780,190999
16234960,190538
16245141,191199
16255321,190500
16265502,190620
16275682,190695
16285863,190813
16296043,190154
16304527,190734
16314708,190531
16324888,190506
16335069,190464
16345250,191123
16355430,190482
16365611,190825
16375791,191172
16385972,190454
16394456,190620
16404636,190523
16414817,191110
16424998,191238
16435178,190783
16445359,190105
16455539,190705
16465720,190808
16475901,190288
16486081,190544
16494565,190666
16504746,190975
16514926,191357
16525107,190837
16535288,191350
16545468,190935
16555649,190517
16565829,190997
16576010,191134
16584494,190569
16594674,190979
16604855,191398
16615036,190253
16625216,191128
16635397,190824
16645577,191081
16655758,191137
16665939,190606
16676119,190715
16684603,190564
16694783,191044
16704964,190833
16715145,190372
16725325,191434
16735506,190832
16745686,191013
16755867,190935
16766048,190551
16774532,190762
16784712,191001
16794893,190872
16805073,190806
16815254,190897
16825435,190785
16835615,191077
16845796,190907
16855976,191103
16866157,190581
16874641,191090
16884821,190770
16895002,190384
16905183,190201
16915363,191045
16925544,190803
16935724,190975
16945905,190819
16956086,190720
16964569,190233
16974750,190948
16984931,190785
16995111,190845
17005292,190591
17015473,190898
17025653,190310
17035834,190888
17046014,191172
17054498,190340
17064679,191399
17074860,190440
17085040,191054
17095221,191368
17105402,190918
17115582,191059
17125763,190625
17135944,190895
17146124,190939
17154608,191104
17164789,190804
17174970,190169
17185150,190260
17195331,190688
17205511,190848
17215692,190892
17225872,190869
17236053,190833
17244537,190668
17254717,190735
17264898,190918
17275079,190814
17285259,190534
17295440,190445
17305620,190559
17315801,190749
17325981,189893
17336162,191396
17344646,190718
17354826,190411
17365007,191145
17375187,190727
17385368,190576
17395548,190778
17405730,190699
17415917,190424
17426105,190734
17434595,191128
17444783,190580
17454935,190542
17465115,191178
17475296,191020
17485476,190847
17495657,190976
17505838,190651
17516018,191207
17524502,190799
17534683,190290
17544863,190878
17555044,190562
17565224,191488
17575405,190781
17585585,190345
17595766,190337
17605947,190343
17616127,190876
17624611,190957
17634792,190199
17644972,190522
17655153,190950
17665334,191037
17675514,190788
17685695,190739
17695876,190875
17706056,190704
17714540,190922
17724721,190382
17734902,190959
17745082,191156
17755263,191427
17765444,190713
17775624,191082
17785805,190765
17795985,190725
17806166,191028
17814650,191129
17824830,191169
17835011,190801
17845191,190521
17855372,190691
17865552,190711
17875733,190398
17885914,190628
17896094,190855
17904578,191164
17914759,191308
17924939,190940
17935120,190718
17945301,190256
17955481,190347
17965662,190774
17975842,191116
17986023,190780
17994507,190657
18004688,190781
18014868,190382
18025049,190387
18035230,191279
18045410,190855
18055591,190878
18065771,190616
18075952,190463
18086133,191313
18094616,190829
18104797,190786
18114978,190791
18125158,190813
18135339,191143
18145520,190400
18155700,190886
18165881,191187
18176061,190929
18184545,191121
18194726,190938
18204906,190277
18215087,191002
18225267,190591
18235448,191165
18245628,190940
18255809,190994
18265989,190417
18276170,190335
18284654,191164
18294834,190858
18305015,191010
18315195,190684
18325376,191711
18335556,190356
18345737,190004
18355918,190698
18366098,190323
18374582,191280
18384762,191061
18394943,190527
18405124,190683
18415304,190161
18425485,190800
18435665,190856
18445846,190799
18456026,190585
18466207,191245
18474691,190524
18484871,190402
18495052,190650
18505232,190412
18515413,190550
18525594,190861
18535774,190003
18545955,191241
18556135,191170
18564619,191613
18574799,190852
18584980,190797
18595160,191008
18605341,190955
18615522,190388
18625702,190848
18635883,191191
18646064,190442
18654547,190418
18664728,190522
18674909,190487
18685089,190936
18695270,191453
18705450,191195
18715631,190660
18725811,191015
18735992,190363
18746172,191382
18754656,189992
18764836,190907
18775017,190694
18785198,190385
18795378,190105
18805559,190311
18815739,191311
18825920,190807
18836100,190652
18844584,190898
18854765,189813
18864945,190592
18875126,190602
18885306,190174
18895487,190979
18905667,190424
18915848,191051
18926028,190871
18936209,190530
18944693,190850
18954873,190325
18965054,190980
18975234,190716
18985415,191035
18995595,190275
19005776,190730
19015956,191147
19026137,190355
19034621,191467
19044801,190577
19054982,190997
19065162,191093
19075343,190563
19085524,191339
19095704,190460
19105885,190589
19116065,190657
19124549,191251
19134729,190657
19144910,190427
19155090,190899
19165271,190390
19175451,190189
19185632,190890
19195812,190741
19205993,190967
19216174,190699
19224658,191089
19234838,190830
19245019,190795
19255199,190898
19265380,190398
19275561,190871
19285741,190634
19295922,190921
19306102,191221
19314586,190696
19324767,191277
19334947,190164
19345128,190918
19355308,190681
19365489,190622
19375670,190276
19385850,190418
19396031,190682
19406211,191061
19414695,190412
19424875,190571
19435056,190315
19445237,191190
19455417,191240
19465598,191042
19475778,191493
19485959,191271
19496139,190475
19504623,190110
19514804,190310
19524984,191069
19535165,190733
19545345,191267
19555526,190571
19565706,190625
19575887,190643
19586067,190727
19596248,190835
19604732,190870
19614912,190774
19625093,191266
19635273,190112
19645454,191308
19655634,191421
19665815,190903
19675996,190918
19686176,190727
19694660,190493
19704840,190387
19715021,190835
19725201,190792
19735382,190609
19745562,191432
19755743,189852
19765923,190442
19776104,190967
19784588,190842
19794768,190668
19804949,190685
19815130,190845
19825310,190387
19835496,190830
19845683,190987
19855871,190517
19866059,190510
19876247,190453
19884696,191103
19894877,190264
19905058,191303
19915238,190521
19925419,190784
19935599,190430
19945780,191130
19955960,190635
19966141,190337
19974624,190450
19984805,190662
19994985,190795
20005166,191183
20015347,191068
20025527,190646
20035708,191031
20045888,190745
20056069,190865
20066249,191213
20074733,190441
20084913,190650
20095094,191529
20105274,190731
20115455,191361
20125635,191014
20135816,191274
20145997,191082
20156177,190548
20164661,191115
20174841,190779
20185022,191011
20195202,190850
20205383,190401
20215563,191038
20225744,191434
20235925,190938
20246105,190955
20254589,190747
20264770,190320
20274950,191233
20285131,191324
20295311,191105
20305492,190337
20315673,190599
20325853,190806
20336034,190568
20346214,190857
20354698,190981
20364878,191087
20375059,191146
20385239,191311
20395420,190313
20405600,190721
20415781,191214
20425961,191234
20436142,190812
20444626,190826
20454806,190838
20464987,191291
20475167,190875
20485348,191183
20495528,191011
20505709,191192
20515890,191048
20526070,190126
20536251,190945
20544734,190339
20554915,191573
20565096,190756
20575276,191168
20585457,190516
20595637,190838
20605818,190440
20615998,191386
20626179,190845
20634663,190408
20644843,190765
20655024,190315
20665204,190780
20675385,191112
20685565,190491
20695746,190688
20705927,191155
20716107,191053
20724591,191003
20734771,190650
20744952,190619
20755133,191232
20765313,191449
20775494,191127
20785674,191269
20795855,190570
20806035,190631
20816216,190922
20824700,191227
20834880,191119
20845061,190571
20855241,190283
20865422,190703
20875603,190504
20885783,190936
20895964,191540
20906144,191214
20914628,191039
20924809,190755
20934989,191258
20945170,190599
20955350,190890
20965531,189862
20975711,191161
20985892,190779
20996073,190768
21006253,190506
21014737,190552
21024918,190339
21035098,190859
21045279,191075
21055459,190710
21065640,190634
21075821,191230
21086001,190604
21096182,190864
21104666,191030
21114846,191516
21125027,190592
21135207,190659
21145388,190950
21155569,190415
21165749,190437
21175930,190416
21186111,190804
21196291,190432
21204775,191112
21214956,190744
21225136,190598
21235317,190398
21245497,190545
21255678,190906
21265859,190430
21276039,191603
21286220,190417
21294704,190446
21304884,190490
21315065,190694
21325245,190884
21335426,190249
21345607,191035
21355788,190425
21365968,190504
21376149,190276
21384633,190418
21394813,190683
21404994,190837
21415174,190498
21425355,190633
21435535,191009
21445716,191093
21455897,191266
21466077,191041
21476258,191066
21484742,191048
21494922,190553
21505103,191119
21515283,190953
21525464,190720
21535645,191396
21545825,190552
21556006,190407
21566186,190232
21574670,191172
21584851,190979
21595031,190590
21605212,191140
21615393,190670
21625573,190533
21635754,190786
21645934,190656
21656115,190247
21666296,191050
21674779,190495
21684960,190710
21695141,191013
21705321,190509
21715502,191208
21725682,191070
21735863,190961
21746043,190887
21756224,190858
21764708,190783
21774888,190712
21785069,191097
21795249,190566
21805430,190634
21815611,190935
21825791,190926
21835972,191149
21846152,191121
21854636,190507
21864817,190996
21874997,190735
21885178,191241
21895359,190882
21905539,191318
21915720,191098
21925900,190598
21936081,190828
21946261,191010
21954745,190900
21964925,190741
21975106,190489
21985286,190495
21995467,191034
22005647,190841
22015828,190915
22026008,190860
22036189,190710
22044673,190511
22054853,191183
22065034,190781
22075214,190745
22085395,190484
22095576,190628
22105756,190667
22115937,190697
22126117,190247
22136298,190817
22144782,190818
22154962,190418
22165143,190923
22175323,190694
22185504,191255
22195685,190380
22205865,190695
22216046,190627
22226226,190885
22234710,190791
22244890,190407
22255076,190961
22265264,190425
22275451,190993
22285639,190945
22295827,190691
22305974,190860
22316154,191064
22324638,190703
22334818,190658
22344999,190442
22355180,191108
22365360,190623
22375541,190506
22385721,190754
22395902,190546
22406083,191248
22416263,190565
22424747,190677
22434928,191547
22445108,191021
22455289,191109
22465469,191322
22475650,190880
22485830,190797
22496011,190590
22506191,190550
22514675,190994
22524856,190851
22535036,190878
22545217,190522
22555397,190631
22565578,190795
22575758,190996
22585939,190654
22596119,190423
22606300,190952
22614784,191162
22624964,190583
22635145,191173
22645325,190732
22655506,190677
22665687,190663
22675867,190684
22686048,191217
22696228,190421
22704712,190590
22714892,190928
22725073,190086
22735253,190699
22745434,190839
22755614,191348
22765795,190477
22775975,191664
22786156,190660
22796337,190604
22804820,190411
22815001,191365
22825182,191260
22835362,190768
22845543,190933
22855723,190968
22865904,190722
22876084,190614
22886265,190954
22894749,190938
22904929,190477
22915110,190715
22925290,190621
22935471,190701
22945652,190860
22955832,190544
22966013,191192
22976193,190843
22984677,190710
22994858,190640
23005038,191146
23015219,190352
23025399,190904
23035580,191146
23045760,190291
23055941,191087
23066121,190895
23076302,191206
23084786,190724
23094966,191244
23105147,190354
23115327,190949
23125508,190385
23135688,190747
23145869,191034
23156049,190974
23166230,191075
23174714,190840
23184894,191574
23195075,190843
23205255,191245
23215436,190805
23225617,190806
23235797,191007
23245978,190702
23256158,191256
23266339,191063
23274822,190359
23285003,190941
23295183,191169
23305364,190428
23315544,190143
23325725,191170
23335906,191298
23346086,189953
23356267,190885
23364751,191021
23374932,190648
23385112,190434
23395293,190886
23405473,191003
23415654,190780
23425834,191083
23436015,191532
23446195,190881
23454679,191172
23464860,190917
23475040,190832
23485221,190849
23495401,191654
23505582,191006
23515762,190695
23525943,191011
23536124,191351
23546304,190295
23554788,190652
23564968,190335
23575149,190209
23585330,190208
23595510,190753
23605691,190311
23615871,190845
23626052,190493
23636232,190635
23644716,191709
23654897,191224
23665077,190946
23675258,189746
23685438,191051
23695619,190793
23705799,191230
23715980,190542
23726161,190101
23736341,190856
23744825,190885
23755006,190751
23765186,190834
23775367,190660
