timestamp_us,raw_reading
389865493,191186
389874809,191005
389885679,190803
389894996,190770
389904312,190417
389915182,190719
389924498,190205
389935368,191190
389944685,190676
389955554,190856
389964871,190874
389975740,190736
389985057,191154
389994374,191034
390005243,190654
390014560,190463
390025459,191110
390034746,190450
390045616,190691
390054932,191138
390064249,190979
390075119,190477
390084435,190666
390095305,191087
390104622,190565
390115491,190397
390124808,190575
390135677,190324
390144994,191513
390154311,190090
390165180,190455
390174497,190677
390185367,190580
390194683,190727
390205553,190603
390214870,190213
390225739,190714
390235056,190544
390244373,190483
390255242,190867
390264559,190349
390275428,191408
390284745,190736
390295615,191001
390304931,190810
390314248,190890
390325118,190872
390334434,190500
390345304,190174
390354620,191168
390365490,190603
390374807,190842
390385676,190454
390394993,190162
390404309,190364
390415179,190296
390424496,190241
390435365,190899
390444682,190477
390455551,190958
390464868,190669
390475737,190301
390485054,190132
390494371,191045
390505240,190876
390514557,190291
390525427,190522
390534743,190839
390545613,190500
390554930,191100
390564246,190459
390575124,191153
390584467,190775
390595302,190621
390604619,190914
390615488,190932
390624805,190438
390635674,191081
390644991,190371
390654308,191215
390665177,190520
390674494,190716
390685363,190854
390694680,190747
390705550,190372
390714866,190525
390725736,191101
390735053,190647
390744369,191039
390755239,190636
390764556,190638
390775425,190584
390784742,190780
390795612,190671
390804928,190844
390814245,190894
390825115,190908
390834431,190409
390845301,190651
390854617,190256
390865487,190741
390874804,190249
390885673,190640
390894990,191372
390904306,190944
390915176,190323
390924492,191018
390935362,190758
390944678,190384
390955548,190334
390964865,190680
390975734,190703
390985051,191419
390994368,190931
391005237,190442
391014554,190763
391025423,190652
391034740,190797
391045609,190392
391054926,190729
391064243,190809
391075112,190168
391084429,190195
391095298,190033
391104615,190679
391115485,190971
391124801,190805
391135687,190891
391144987,190649
391154304,190851
391165174,191162
391174490,190383
391185360,190933
391194677,191064
391205546,190786
391214863,190879
391225732,190601
391235049,190973
391244366,190782
391255235,191485
391264552,190220
391275422,190323
391284738,190527
391295608,190859
391304925,190469
391314241,190671
391325111,190102
391334427,191079
391345297,190639
391354614,190489
391365483,190234
391374800,190648
391385669,190298
391394986,190107
391404303,190578
391415172,190477
391424489,190380
391435358,190973
391444675,190878
391455545,190723
391464862,190926
391475731,190483
391485048,190286
391494365,190224
391505234,190905
391514551,191052
391525420,190714
391534737,191162
391545607,190593
391554924,190227
391565793,190540
391575110,191207
391584427,190127
391595296,190339
391604613,190481
391615482,190563
391624799,190722
391635669,190504
391644985,190535
391654302,190067
391665171,190304
391674488,191049
391685358,190435
391694694,189861
391705544,190682
391714860,190306
391725730,190025
391735047,191003
391744363,190127
391755233,190646
391764550,190898
391775419,191067
391784736,190423
391795605,190607
391804922,190980
391815792,191119
391825108,191194
391834425,191003
391845295,190306
391854611,190526
391865481,190243
391874797,190683
391885667,190991
391894984,191092
391904300,190374
391915170,190748
391924487,190936
391935356,190388
391944673,190956
391955542,190151
391964859,190589
391975729,190753
391985045,191173
391994362,190727
392005232,190857
392014548,190986
392025418,190840
392034734,190935
392045604,190390
392054921,191227
392065790,190528
392075107,190460
392084424,190675
392095293,190978
392104610,190718
392115479,190459
392124796,190228
392135666,190472
392144982,190524
392154299,190760
392165168,190372
392174485,190798
392185355,190387
392194672,191021
392205541,190907
392214858,190647
392225727,191091
392235044,190908
392244361,190403
392255258,190808
392264547,190447
392275417,190482
392284733,190698
392295603,190550
392304920,190280
392315789,190707
392325106,190437
392334423,190480
392345292,190756
392354609,190581
392365479,190830
392374795,190236
392385665,190783
392394982,190215
392404298,190344
392415168,190814
392424485,190150
392435354,190655
392444671,190834
392455541,190986
392464857,191047
392475727,190474
392485044,191052
392494360,190658
392505230,190025
392514547,190798
392525416,190465
392534733,190588
392545602,189925
392554919,190704
392565789,190469
392575105,190651
392584422,190473
392595292,190182
392604608,190458
392615478,190461
392624795,190477
392635664,190918
392644981,190586
392655850,189828
392665167,190682
392674484,190350
392685353,190851
392694670,190760
392705539,190398
392714856,190778
392725726,190522
392735042,190808
392744359,190813
392755229,190425
392764545,190140
392775415,190599
392784732,190681
392795601,190946
392804921,190848
392815821,191180
392825104,190500
392834421,190191
392845290,191534
392854607,190591
392865476,190569
392874793,190864
392885663,189959
392894979,190595
392905849,190813
392915166,190816
392924482,190215
392935352,190536
392944669,190787
392955538,190592
392964855,190329
392975724,190345
392985041,191256
392994358,190590
393005228,190514
393014544,190611
393025414,190709
393034731,190600
393045600,191212
393054917,190636
393065786,190855
393075103,190189
393084420,191295
393095290,190713
393104606,190704
393115476,190423
393124793,190901
393135662,191488
393144979,190461
393155848,190869
393165165,190806
393174482,190646
393185351,191220
393194668,190968
393205538,190699
393214854,190134
393225724,190341
393235041,190753
393244357,190602
393255227,191350
393264544,190520
393275413,190373
393284730,190631
393295600,190731
393304916,190856
393315786,190753
393325103,190644
393334419,190550
393345289,190242
393354606,190632
393365487,190688
393374792,190400
393385661,190604
393394978,190512
393405848,190749
393415164,190872
393424481,191043
393435351,190706
393444667,190320
393455537,190375
393464854,191085
393475723,190527
393485040,191116
393494357,190931
393505226,191237
393514543,190649
393525413,190840
393534730,190647
393545599,189769
