timestamp_us,raw_reading
481030894,185696
481041074,197929
481049558,180021
481059738,194919
481069919,185392
481080099,186165
481090280,197784
481100460,178467
481110641,193406
481120821,189364
481131002,185584
481139486,195978
481149666,180498
481159846,194931
481170027,185512
481180207,187062
481190388,198020
481200568,178639
481210749,193623
481220929,189282
481231110,185449
481239593,196673
481249774,179851
481259954,195378
481270135,185687
481280315,186542
481290496,197785
481300676,179294
481310856,193187
481321037,189898
481329521,188286
481339701,196562
481349881,180289
481360062,194566
481370242,185713
481380423,186163
481390603,198441
481400783,179102
481410964,193524
481421144,189118
481429628,188509
481439808,196923
481449989,179528
481460169,194121
481470350,185963
481480530,186280
481490710,198640
481500891,179365
481511071,193541
481519555,183963
481529735,188489
481539916,197264
481550096,180223
481560277,194871
481570457,186385
481580637,186531
481590818,198408
481600998,179699
481611179,192781
481619662,183498
481629843,188134
481640023,197353
481650204,179695
481660384,194475
481670565,186319
481680745,185783
481690926,198614
481701106,178827
481709590,196004
481719770,183731
481729951,188298
481740131,197698
481750311,179814
481760492,194606
481770672,186712
481780853,185947
481791033,198241
481801214,179310
481809697,196125
481819878,184265
481830058,187538
481840238,196969
481850419,179295
481860599,194721
481870780,187441
481880960,186616
481891141,197998
481899624,181787
481909805,195664
481919985,183847
481930166,187806
481940346,197566
481950527,179678
481960707,194584
481970888,187537
481981068,186252
481991249,197455
481999732,181244
482009913,195650
482020093,184572
482030274,186743
482040454,197380
482050635,180043
482060815,194651
482070995,188224
482081176,186106
482089660,195819
482099840,181862
482110021,195778
482120201,184823
482130382,188209
482140562,197534
482150742,180136
482160923,194012
482171103,188189
482181284,186056
482189767,195953
482199948,180834
482210128,195866
482220309,183943
482230489,187681
482240670,197522
482250850,179791
482261030,193926
482271211,188310
482279694,189920
482289875,196835
482300055,180964
482310236,195386
482320416,184687
482330597,187173
482340777,197772
482350957,179384
482361138,193960
482371318,189123
482379802,189235
482389982,196299
482400163,180651
482410343,195630
482420524,185358
482430704,187119
482440885,198251
482451065,178733
482461245,194216
482469729,182636
482479910,189291
482490090,196609
482500270,180932
482510451,194989
482520631,184941
482530812,187004
482540992,198587
482551173,178859
482561353,193265
482569837,182433
482580017,188594
482590198,196035
482600378,180444
482610559,194792
482620739,185901
482630920,186553
482641100,197743
482651281,179720
482659765,196532
482669945,182626
482680125,188916
482690306,196851
482700486,180105
482710667,194969
482720847,184999
482731028,186565
482741208,198416
482751389,179137
482759872,196780
482770053,182724
482780233,188772
