timestamp_us,raw_reading
11115817,190767
11124301,190616
11134481,190561
11144662,190305
11154842,190173
11165023,190497
11175203,190905
11185384,190205
11195564,190642
11205745,190393
11215925,190446
11224409,190512
11234590,190504
11244770,190616
11254951,190760
11265131,190514
11275312,191297
11285492,190779
11295673,190699
11305853,190703
11314337,190358
11324517,190567
11334698,190927
11344878,190627
11355059,191092
11365239,190462
11375420,190301
11385600,191095
11395781,190861
11405961,190390
11414445,190519
11424626,190701
11434806,191024
11444987,190646
11455167,190849
11465348,190832
11475528,190480
11485709,190171
11495889,190988
11504373,190820
11514554,190756
11524734,190437
11534915,190758
11545096,191160
11555276,190456
11565457,191079
11575637,190494
11585818,189860
11594302,190258
11604482,190484
11614663,190556
11624843,191130
11635024,190740
11645205,190347
11655385,190756
11665566,190625
11675746,190520
11685927,190682
11694411,190607
11704591,190649
11714772,190800
11724952,190580
11735133,190701
11745313,189930
11755494,190822
11765674,190308
11775855,190492
11784339,191106
11794519,190290
11804700,190969
11814880,189421
11825061,190506
11835241,190596
11845422,191128
11855602,190485
11865783,190152
11875963,190223
11884447,190631
11894628,190426
11904808,190347
11914989,189611
11925170,190428
11935350,190946
11945531,190300
11955711,190805
11965891,190540
11974375,190614
11984556,191249
11994736,190330
12004917,190515
12015097,190585
12025278,190509
12035459,190376
12045639,190180
12055820,190336
12064303,190274
12074484,190596
12084664,190243
12094845,190585
12105025,190314
12115206,190405
12125386,189935
12135567,190900
12145748,190362
12155928,190260
12164412,190932
12174592,190594
12184773,190689
12194953,190198
12205134,190409
12215314,190480
12225495,190337
12235675,190421
12245856,190427
12254340,190355
12264520,190687
12274701,190771
12284881,190424
12295061,191064
12305242,189851
12315423,191229
12325603,190313
12335784,190431
12345964,191070
12354448,190385
12364628,190875
12374809,191137
12384990,191206
12395170,191104
12405351,190422
12415531,191252
12425712,189961
12435892,190369
12444376,190964
12454557,190246
12464737,190359
12474918,190476
12485098,190860
12495280,190587
12505467,190436
12515655,191027
12525843,190518
12536030,190990
12544485,190214
12554665,190429
12564846,191265
12575026,190235
12585207,190588
12595387,190729
12605568,190494
12615748,190435
12625929,190245
12634413,190756
12644593,190525
12654774,191192
12664954,190484
12675135,190645
12685315,190334
12695496,190981
12705676,191024
12715857,190375
12726037,191173
12734521,190698
12744701,190451
