time_us         delay   reading
79001283        119     22
79002461        117     23
79003638        119     22
79004816        121     24
79005994        120     23
79007171        118     23
79008349        118     22
79009526        117     23
79010703        117     21
79011880        116     22
79013058        118     24
79014235        118     21
79015412        119     23
79016589        119     22
79017766        119     20
79018944        118     25
79020121        122     23
79021299        117     23
79022476        118     23
79023654        119     23
79024831        118     21
79026009        118     23
79027186        117     24
79028364        118     22
79029540        116     22
79030718        120     23
79031895        117     23
79033072        120     22
79034250        119     23
79035427        119     23
79036605        120     24
79037781        119     22
79038959        115     21
79040136        118     23
79041314        118     23
79042491        118     21
79043669        120     21
79044846        115     24
79046024        118     22
79047201        116     22
79048378        116     23
79049556        118     22
79050733        124     21
79051910        118     22
79053088        117     23
79054265        120     21
79055442        115     24
79056619        117     23
79057796        117     23
79058974        120     22
79060151        116     22
79061329        120     23
79062506        118     21
79063684        120     21
79064861        118     22
79066038        120     23
79067215        120     23
79068393        121     22
79069570        119     22
79070747        117     24
79071925        117     21
79073103        118     23
79074280        118     22
79075457        119     22
79076635        118     23
79077813        118     23
79078990        119     23
79080167        119     22
79081346        119     23
79082522        118     23
79083699        117     23
79084877        118     22
79086054        119     22
79087232        118     24
79088408        118     24
79089586        119     22
79090764        118     23
79091941        117     22
79093118        118     22
79094296        117     21
79095473        118     21
79096650        118     22
79097828        119     23
79099005        117     24
79100182        118     24
79101359        117     23
79102537        120     23
79103714        120     21
79104892        117     23
79106069        120     23
79107246        119     23
79108423        121     22
79109601        121     23
79110779        118     22
79111956        117     20
79113134        117     23
79114311        119     22
79115488        121     24
79116666        116     23
79117843        121     23
79119020        118     24
79120197        116     21
79121375        117     22
79122552        118     24
79123729        120     24
79124907        117     24
79126084        118     24
79127262        118     21
79128439        119     22
79129617        118     23
79130794        118     23
79131972        119     23
79133149        118     24
79134326        117     23
79135503        118     22
79136681        121     23
79137859        117     23
79139036        118     21
79140213        117     22
79141391        120     22
79142568        119     23
79143745        121     22
79144923        118     23
79146100        119     24
79147277        119     23
79148454        119     22
79149632        122     22
79150809        117     22
79151986        118     23
79153164        119     23
79154341        118     23
79155518        118     22
79156696        118     21
79157873        119     23
79159050        119     23
79160228        121     22
79161405        116     23
79162582        118     23
79163760        119     22
79164937        120     22
79166114        118     22
79167292        119     21
79168469        118     22
79169646        118     24
79170823        119     23
79172001        118     22
79173178        117     23
79174355        118     24
79175533        117     23
79176710        119     23
79177887        119     24
79179064        119     22
79180242        118     23
79181419        117     22
79182596        116     23
79183774        120     25
79184951        121     22
79186129        120     22
79187306        117     23
79188483        118     21
79189661        119     22
79190838        117     24
79192015        118     24
79193193        118     23
79194370        118     25
79195548        116     23
79196725        118     22
79197903        118     23
79199081        117     23
79200258        118     23
79201435        119     23
79202613        119     22
79203791        118     23
79204968        118     23
79206145        117     23
79207322        120     22
79208500        119     22
79209677        117     22
79210854        118     23
79212032        115     22
79213209        118     21
79214387        119     22
79215564        116     22
79216742        120     22
79217920        116     22
79219097        121     22
79220274        121     23
79221451        115     20
79222629        119     21
79223806        121     22
79224984        117     23
79226161        120     23
79227338        117     22
79228515        120     24
79229693        118     23
79230870        118     22
79232047        117     23
79233224        116     21
79234402        117     22
79235579        115     21
79236756        118     23
79237933        117     22
79239111        118     21
79240289        121     23
79241466        119     24
79242643        118     23
79243821        120     23
79244998        117     24
79246175        119     25
79247353        118     23
79248530        121     23
79249708        121     23
79250885        116     23
79252063        119     22
79253240        116     23
79254418        118     23
79255595        116     23
79256774        117     23
79257950        118     22
79259128        120     24
79260305        119     22
79261483        116     22
79262660        117     22
79263837        119     22
79265015        119     23
79266192        118     22
79267369        116     23
79268547        118     22
79269724        117     23
79270902        118     23
79272080        116     23
79273256        118     24
79274434        118     24
79275611        117     25
79276788        118     23
79277966        118     22
79279144        116     24
79280320        116     22
79281498        118     21
79282676        120     23
79283853        120     21
79285031        121     24
79286207        121     23
79287384        118     21
79288561        120     23
79289739        119     23
79290916        118     23
79292094        119     24
79293271        119     24
79294449        118     23
79295626        117     22
79296804        119     23
79297981        122     23
79299158        119     22
79300337        122     22
79301513        117     22
79302691        119     22
79303868        116     23
79305045        119     23
79306223        122     23
79307400        117     25
79308578        117     22
79309755        118     23
79310934        118     23
79312110        117     24
79313287        117     22
79314466        117     21
79315642        115     23
79316820        121     23
79317997        120     23
79319175        116     22
79320353        119     23
79321531        117     23
79322708        116     23
79323884        118     21
79325062        119     23
79326240        116     22
79327417        121     24
79328594        120     23
79329771        118     22
79330949        118     23
79332126        118     22
79333303        118     24
79334480        120     23
79335658        118     24
79336835        119     24
79338012        118     23
79339190        119     23
79340367        116     22
79341544        119     24
79342721        121     23
79343898        117     23
79345076        117     22
79346253        117     23
79347431        120     22
79348608        116     24
79349785        116     22
79350962        117     23
79352140        117     22
79353317        120     22
79354494        116     23
79355671        118     24
79356849        118     23
79358026        118     24
79359203        118     20
79360381        117     22
79361559        117     22
79362735        118     23
79363913        119     23
79365090        116     24
79366267        117     23
79367445        118     24
