Comment,Designator,Footprint,LCSC
4.7nF,C3,C_0402_1005Metric,C1518204
1uH,L1,L_Murata_DFE201610P,C161082
470pF,C10,C_0603_1608Metric,C1620
47R,"R1,R10,R2,R3,R4,R5,R6,R9",R_0402_1005Metric,C25118
100K,"R7,R8",R_0402_1005Metric,C25741
0.1uF,"C13,C15,C8",C_0402_1005Metric,C307331
1uF,"C14,C2,C4,C6",C_0402_1005Metric,C52923
10uF,"C1,C11,C12,C5,C7,C9",C_0603_1608Metric,C96446
